"PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202965_s_at","CAPN6","calpain 6",1.22206368327245,7.46657696995003,4.77894297850302,2.92267771545852e-06,1.0460683692897e-05,3.54616082225215
"203256_at","CDH3","cadherin 3",1.03487590450102,9.80296305693297,5.71229428932868,2.98738011613869e-08,1.50082704998514e-07,7.97789818951984
"203358_s_at","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit",1.26664346627122,8.88932743591328,7.03524087809898,1.69474911755807e-11,1.39443804367927e-10,15.2780567223892
"203554_x_at","PTTG1","PTTG1 regulator of sister chromatid separation, securin",1.03169441094105,10.543335216869,7.27020044716313,4.03520905501613e-12,3.65273270004979e-11,16.6859815975704
"203625_x_at","SKP2","S-phase kinase associated protein 2",1.04626735223919,9.82935362303408,8.38008577617889,3.1305801230502e-15,4.48544203951178e-14,23.7315839314485
"203692_s_at","E2F3","E2F transcription factor 3",1.06797031551323,9.31799138226066,11.7190114170157,7.77214400549627e-26,3.76387930469893e-24,47.883038183922
"203755_at","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B",1.21832431921484,9.64240867401195,7.38158553889536,2.02246845813703e-12,1.91246044532415e-11,17.3642009565573
"203764_at","DLGAP5","DLG associated protein 5",1.07986859863615,8.43534404835525,5.65728804743394,3.97976944365551e-08,1.96366658543331e-07,7.69925617152504
"203819_s_at","IGF2BP3","insulin like growth factor 2 mRNA binding protein 3",1.23405578885961,6.84137164874035,6.30503362646178,1.19840537537573e-09,7.54871127864838e-09,11.1107401770357
"203820_s_at","IGF2BP3","insulin like growth factor 2 mRNA binding protein 3",1.72536406882239,6.71724212352394,7.34392621993008,2.55639145347313e-12,2.37664857538928e-11,17.1341319719298
"204061_at","PRKX","protein kinase X-linked",1.1469624690089,8.85796199806929,6.61633471573632,2.02683893048252e-10,1.43008670182129e-09,12.8475401158981
"204086_at","PRAME","PRAME nuclear receptor transcriptional regulator",1.42569372462411,7.88886162185,7.51251646006622,8.90476565374888e-13,8.88445368829781e-12,18.1700722778529
"204124_at","SLC34A2","solute carrier family 34 member 2",1.90117364865157,7.70429081035665,15.1616814881049,8.12713464196848e-38,1.34651844408978e-35,75.2545609796315
"204146_at","RAD51AP1","RAD51 associated protein 1",1.06693220492666,9.45173029677141,6.19539582842263,2.2094237453209e-09,1.33850685069718e-08,10.5137196375067
"204162_at","NDC80","NDC80 kinetochore complex component",1.08637835064145,8.76856902274726,6.1572809239001,2.72818948221353e-09,1.63020502666694e-08,10.3079974055278
"204259_at","MMP7","matrix metallopeptidase 7",1.55763560590998,9.82617539444599,6.22065436887397,1.92026408897592e-09,1.173533367477e-08,10.65057232529
"204268_at","S100A2","S100 calcium binding protein A2",1.18181209512157,7.87692504676367,4.98969444921488,1.09588468387754e-06,4.22549330684095e-06,4.49035932976666
"204304_s_at","PROM1","prominin 1",2.87952539024577,9.28504824852295,8.69665536327327,3.65384328760194e-16,5.91396926434683e-15,25.8496930845261
"204437_s_at","FOLR1","folate receptor alpha",1.16736665613713,7.39996759549987,5.44990322179258,1.15220254409065e-07,5.25892596194645e-07,6.66785971478798
"204470_at","CXCL1","C-X-C motif chemokine ligand 1",1.13986356247794,7.42678498377269,7.56224864182658,6.50563383129904e-13,6.62869045334094e-12,18.4785779623716
"204537_s_at","GABRE","gamma-aminobutyric acid type A receptor subunit epsilon",1.0369931062093,6.52946241956692,9.08405958499368,2.49143934851964e-17,4.68752396353445e-16,28.5002071603878
"204580_at","MMP12","matrix metallopeptidase 12",1.67186742604139,7.90808280053885,5.18067593500794,4.38212263643601e-07,1.81125306279966e-06,5.37502361783873
"204600_at","EPHB3","EPH receptor B3",1.07230444490991,10.0696905668442,9.651305485695,4.40230376373799e-19,1.02293224939386e-17,32.4877399012973
"204602_at","DKK1","dickkopf WNT signaling pathway inhibitor 1",1.3963517825791,7.46211992626887,5.24785579130883,3.15485594719254e-07,1.33870197060731e-06,5.69266392571897
"204647_at","HOMER3","homer scaffold protein 3",1.00555327825163,9.60790609114242,9.73305681770247,2.43762975311354e-19,5.81743372987703e-18,33.0721255007779
"204709_s_at","KIF23","kinesin family member 23",1.16680731993619,7.66928817141701,7.32573776583269,2.86187554657203e-12,2.64536002550846e-11,17.0232930154754
"204724_s_at","COL9A3","collagen type IX alpha 3 chain",1.14984068466342,8.01917042239089,6.43661464094448,5.69505193468001e-10,3.75529224368247e-09,11.8374221898796
"204733_at","KLK6","kallikrein related peptidase 6",1.41874835293529,7.34461021987461,7.286191607462,3.65573910121639e-12,3.3296274422623e-11,16.7829306639125
"204819_at","FGD1","FYVE, RhoGEF and PH domain containing 1",1.09943065045828,7.98030794024741,14.065717298153,6.01326125552929e-34,6.92158019254872e-32,66.4107157275293
"204822_at","TTK","TTK protein kinase",1.16362312380021,8.11060163866178,5.81816601941006,1.71030190720728e-08,8.94497386422022e-08,8.5201063076181
"204825_at","MELK","maternal embryonic leucine zipper kinase",1.24279762264274,10.4297245404123,7.05441816563645,1.50914587118537e-11,1.25075868587328e-10,15.3917946050722
"204855_at","SERPINB5","serpin family B member 5",1.78116101316235,8.39542500440103,6.2911192641287,1.29568964071999e-09,8.11847709218029e-09,11.0345412985432
"204913_s_at","SOX11","SRY-box transcription factor 11",1.88776384390943,7.19552153995565,8.15832587276899,1.37294930714782e-14,1.78984271264443e-13,22.2749818792797
"204914_s_at","SOX11","SRY-box transcription factor 11",1.58160663131939,8.17832545735524,7.49329696438429,1.00498868837097e-12,9.93271087069465e-12,18.0512000691798
"205029_s_at","FABP7","fatty acid binding protein 7",2.07648852871189,7.05616843881917,6.82510981150655,5.95913596419038e-11,4.5346660938359e-10,14.0458151216801
"205030_at","FABP7","fatty acid binding protein 7",2.96080110708101,8.61813912875619,7.41722351968203,1.61918978278915e-12,1.55096708784157e-11,17.5826331925743
"205044_at","GABRP","gamma-aminobutyric acid type A receptor subunit pi",2.81160318660691,9.62707047304786,7.65748465273877,3.55370834408399e-13,3.769868135677e-12,19.0730021925187
"205047_s_at","ASNS","asparagine synthetase (glutamine-hydrolyzing)",1.29425479765409,9.48934458281777,8.52813626501246,1.15261930553918e-15,1.75151363341731e-14,24.7166193717733
"205085_at","ORC1","origin recognition complex subunit 1",1.29266399121799,6.77619237838467,17.5051317649538,3.98806971865132e-46,1.33771602372553e-43,94.2502282520449
"205157_s_at","KRT17","keratin 17",1.10634056893642,8.96343887400082,4.70242876031075,4.13949992271699e-06,1.44544104147753e-05,3.21183044355653
"205347_s_at","TMSB15A","thymosin beta 15A",1.4292042219923,8.88425837001602,5.6183457303708,4.86983541188859e-08,2.36716083877141e-07,7.50326622100503
"205350_at","CRABP1","cellular retinoic acid binding protein 1",1.47149579653808,7.44944796489278,8.39278327308947,2.87456727415813e-15,4.13597278196305e-14,23.8156758756548
"205363_at","BBOX1","gamma-butyrobetaine hydroxylase 1",1.62022871493898,7.53409792101018,6.64982759887959,1.66831420930112e-10,1.19282175223668e-09,13.037994010745
"205436_s_at","H2AX","H2A.X variant histone",1.11025231346072,9.54344656507639,10.0995419648004,1.67632159104924e-20,4.62426251214013e-19,35.71974415939
"205475_at","SCRG1","stimulator of chondrogenesis 1",1.03171074971781,7.19341332688145,5.5461151839528,7.06193101726133e-08,3.33977232392322e-07,7.14256675744825
"205816_at","ITGB8","integrin subunit beta 8",1.06951607659119,5.68800699376268,8.17502321656822,1.22928431623586e-14,1.61642905219326e-13,22.3838519335784
"205819_at","MARCO","macrophage receptor with collagenous structure",1.1804953370241,8.42294845038231,6.6313738355033,1.85734986941343e-10,1.31849654778213e-09,12.9329735909814
"206023_at","NMU","neuromedin U",1.44854036971477,8.14523578345626,9.00749837637435,4.25607164566265e-17,7.83240381106043e-16,27.9715028000568
"206032_at","DSC3","desmocollin 3",1.62740835157016,7.66210442072156,6.065513441949,4.51615701795821e-09,2.59044151234647e-08,9.81660149232055
"206033_s_at","DSC3","desmocollin 3",1.2711513069286,6.44440196189591,5.98497925943545,6.99756484901709e-09,3.89406471368966e-08,9.38995522587388
"206045_s_at","NOL4","nucleolar protein 4",1.03196641092531,5.6286846160287,8.87468928041125,1.07160958719819e-16,1.86771610392288e-15,27.0600196552482
"206074_s_at","HMGA1","high mobility group AT-hook 1",1.22047101559716,10.1692610626728,9.73619162177299,2.38289187022071e-19,5.69176989970806e-18,33.0945804979814
"206157_at","PTX3","pentraxin 3",1.53095423908901,7.69130383260655,5.35319600209345,1.87260100224068e-07,8.25947562096719e-07,6.19739901008813
"206298_at","ARHGAP22","Rho GTPase activating protein 22",1.0492267954471,7.73919771853793,11.5279642690878,3.4198114037069e-25,1.53386536913597e-23,46.4145439352106
"206373_at","ZIC1","Zic family member 1",1.95810235049317,7.50966496478605,7.91575084131289,6.73924731997041e-14,7.90704607766914e-13,20.7085403162913
"206391_at","RARRES1","retinoic acid receptor responder 1",1.46877433784161,8.72886385283386,7.161874386747,7.84936830432382e-12,6.79810251922866e-11,16.0329928207517
"206392_s_at","RARRES1","retinoic acid receptor responder 1",1.8624670392899,8.46118238403228,6.90181796581293,3.77657358683924e-11,2.96374567045264e-10,14.4926431384051
"206632_s_at","APOBEC3B","apolipoprotein B mRNA editing enzyme catalytic subunit 3B",1.12838819291928,8.62717663787113,4.87569076891058,1.87051036451998e-06,6.92558774159477e-06,3.97538420654048
"206898_at","CDH19","cadherin 19",1.48163863907582,5.64789610930907,6.05546216199688,4.77093191152283e-09,2.72485847970867e-08,9.7631169843939
"207039_at","CDKN2A","cyclin dependent kinase inhibitor 2A",1.40304976108301,8.2713097188217,6.34116999757838,9.7797581740856e-10,6.24003125415019e-09,11.3092125312882
"207076_s_at","ASS1","argininosuccinate synthase 1",1.23210350994029,10.571109158839,6.65128657554417,1.6542022954293e-10,1.18319610809258e-09,13.0463059296122
"207177_at","PTGFR","prostaglandin F receptor",1.15856057676551,6.63960052057115,8.25572930355481,7.19201591822795e-15,9.79385978403769e-14,22.9119326755953
"207183_at","GPR19","G protein-coupled receptor 19",1.01223497318992,6.3946043787928,7.95366961655652,5.2650621936969e-14,6.29493276711957e-13,20.9515028337379
"207639_at","FZD9","frizzled class receptor 9",1.54233928183504,7.1079683122377,26.6640167396402,5.29770820077786e-77,1.60917886598627e-73,164.735441855192
"208103_s_at","ANP32E","acidic nuclear phosphoprotein 32 family member E",1.40687964426644,9.66371494185632,7.5328692594568,7.83240967085146e-13,7.87200365356257e-12,18.2961687616078
"208165_s_at","PRSS16","serine protease 16",1.15295561983682,7.95104712699941,6.61031265577266,2.09888819033605e-10,1.47711046217819e-09,12.8133692024339
"208190_s_at","LSR","lipolysis stimulated lipoprotein receptor",1.05383276393687,9.05559001722802,8.269494937232,6.56166207301295e-15,9.00047350331116e-14,23.0023105096122
"208358_s_at","UGT8","UDP glycosyltransferase 8",1.01169259125338,6.26272663995727,6.10394245095687,3.65919955430714e-09,2.13472829312572e-08,10.0217053665171
"209024_s_at","SYNCRIP","synaptotagmin binding cytoplasmic RNA interacting protein",1.10170571971599,10.6409713771995,10.4412770950965,1.33019467716418e-21,4.13229511215634e-20,38.227181795053
"209125_at","KRT6A","keratin 6A",1.4011841134185,6.48437579583609,5.7814389644127,2.07712874647305e-08,1.07209491374883e-07,8.3311385350523
"209126_x_at","KRT6B","keratin 6B",1.29273365972092,8.52524224244769,10.8661627492128,5.44041033535527e-23,1.95308230522357e-21,41.3921549004403
"209204_at","LMO4","LIM domain only 4",1.25140052197648,7.72976926123016,11.4386679858939,6.81728058057562e-25,2.95352468893005e-23,45.7308711323821
"209205_s_at","LMO4","LIM domain only 4",1.49860474658285,10.0923210031116,9.20161176213444,1.09009334071574e-17,2.15554623521277e-16,29.3165139357659
"209211_at","KLF5","Kruppel like factor 5",1.60721821778285,7.90555867557926,8.83167510639296,1.44298270445242e-16,2.46470101111952e-15,26.7663715388111
"209212_s_at","KLF5","Kruppel like factor 5",1.3661805218117,8.8165873680149,8.00507883903548,3.76336053342673e-14,4.59392134773625e-13,21.2820392939715
"209283_at","CRYAB","crystallin alpha B",1.66874803519777,9.37774508316195,7.94806942298391,5.46079485985966e-14,6.5161274326239e-13,20.9155750257633
"209290_s_at","NFIB","nuclear factor I B",1.04189159692167,11.1050896224427,6.35567324955819,9.01157392081273e-10,5.78295544742296e-09,11.3891036346104
"209293_x_at","ID4","inhibitor of DNA binding 4, HLH protein",1.11157078436809,8.55451396310062,9.83995467654851,1.12154286707685e-19,2.80513981049529e-18,33.8397544661603
"209387_s_at","TM4SF1","transmembrane 4 L six family member 1",1.08627617244628,9.77519831507324,6.44476478490706,5.43667525702982e-10,3.59736439160239e-09,11.8827937003702
"209395_at","CHI3L1","chitinase 3 like 1",1.31037335846104,9.52759092822129,4.70863253305495,4.02495787629579e-06,1.40832312739327e-05,3.2387682808197
"209427_at","SMTN","smoothelin",1.02879274105951,7.94407022216958,13.5544856556758,3.72803910472851e-32,3.52038925822162e-30,62.3147930222148
"209464_at","AURKB","aurora kinase B",1.06483533795296,7.24486741501168,10.6153890788299,3.6107243111298e-22,1.18782401751517e-20,39.518055711808
"209642_at","BUB1","BUB1 mitotic checkpoint serine/threonine kinase",1.6101276571494,7.57239009480214,8.35372097788697,3.73645694791238e-15,5.30349905574012e-14,23.5572131253269
"209644_x_at","CDKN2A","cyclin dependent kinase inhibitor 2A",1.37890163206264,8.68072459047785,9.92910870721742,5.85295114287187e-20,1.51376586441116e-18,34.4829259253888
"209792_s_at","KLK10","kallikrein related peptidase 10",1.28898378824591,7.24313656868244,6.07585455219678,4.26794061296427e-09,2.45967801216213e-08,9.87169814084245
"209800_at","KRT16","keratin 16",1.26264226936948,8.09282126746699,7.65919729310633,3.51512668284797e-13,3.73183594921772e-12,19.0837352427455
"209815_at","PTCH1","patched 1",1.02263696836466,7.94694130748593,6.93930869519269,3.01824976753946e-11,2.39684540363428e-10,14.7122895065149
"209842_at","SOX10","SRY-box transcription factor 10",1.69934579325651,8.39486393506735,7.40641715249385,1.73226853001863e-12,1.65262226275988e-11,17.5163259326775
"209990_s_at","GABBR2","gamma-aminobutyric acid type B receptor subunit 2",1.19717217056034,6.09883421888037,5.14685056966152,5.16431709944605e-07,2.11170095409343e-06,5.21635325740126
"210024_s_at","UBE2E3","ubiquitin conjugating enzyme E2 E3",1.09280964072427,10.6520003570337,9.92577697574762,5.99722101123429e-20,1.54961275420243e-18,34.4588425628098
"210052_s_at","TPX2","TPX2 microtubule nucleation factor",1.20350762731027,9.06903933660553,7.20773150284865,5.92712881313895e-12,5.22771040261933e-11,16.3086168982819
"210073_at","ST8SIA1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",1.3131600358829,6.64018482873478,8.49608048762344,1.43217185005875e-15,2.13945343994431e-14,24.5025035488817
"210147_at","ART3","ADP-ribosyltransferase 3 (inactive)",2.32302947293981,6.26773267029633,9.40295234561745,2.61428898840934e-18,5.55523709449205e-17,30.7270760568776
"210347_s_at","BCL11A","BAF chromatin remodeling complex subunit BCL11A",1.22168173960692,8.92387328916263,7.95963908698088,5.06405772189047e-14,6.07320368379823e-13,20.9898167991227
"210683_at","NRTN","neurturin",1.61548418424272,6.5679037045949,10.2454051944863,5.70830053537209e-21,1.66011346686951e-19,36.7856208446194
"210692_s_at","SLC43A3","solute carrier family 43 member 3",1.31462667902653,7.57563705976356,12.9253600907547,5.7684762810365e-30,4.30274816733521e-28,57.3123570324849
"211040_x_at","GTSE1","G2 and S-phase expressed 1",1.08333288945424,9.4896206303246,22.3910916201112,4.61400705851573e-63,6.46848297241917e-60,132.946033587151
"211303_x_at","FOLH1B","folate hydrolase 1B",1.0762381941181,7.33699531601421,11.6518703608509,1.30933387540303e-25,6.166049064398e-24,47.3660738491585
"212174_at","AK2","adenylate kinase 2",1.04914586930365,9.10385087309127,9.70352911575464,3.0185851025495e-19,7.14773237253764e-18,32.860782285462
"212512_s_at","CARM1","coactivator associated arginine methyltransferase 1",1.06310320827803,7.84295420021106,12.8158858070983,1.38004465787914e-29,9.85038402996629e-28,56.4470179416209
"212762_s_at","TCF7L2","transcription factor 7 like 2",1.050564815219,8.85938803062871,6.74477881939784,9.57301457176931e-11,7.0893210309019e-10,13.5816373515394
"212771_at","FAM171A1","family with sequence similarity 171 member A1",1.47996088389789,10.0102957430645,9.5233679967844,1.10513376922032e-18,2.44925775565955e-17,31.577950675587
"213060_s_at","CHI3L2","chitinase 3 like 2",1.41151861821092,8.60967908053146,6.1844773220908,2.34724421221244e-09,1.41619484995272e-08,10.4546909140167
"213134_x_at","BTG3","BTG anti-proliferation factor 3",1.12059508781404,10.077937647938,8.96471340753729,5.73501847368683e-17,1.03725482980095e-15,27.6770761211235
"213260_at","FOXC1","forkhead box C1",1.1747988154093,9.24473944559056,7.64349573445255,3.88490810003015e-13,4.10052799940441e-12,18.9853914034104
"213456_at","SOSTDC1","sclerostin domain containing 1",1.22068432130997,7.30001588056718,5.09393379295845,6.66640467804591e-07,2.66924698478331e-06,4.96983442695476
"213668_s_at","SOX4","SRY-box transcription factor 4",1.20188236235698,9.75257615579927,8.2886985538184,5.77268137273797e-15,8.00054129415585e-14,23.1285390635885
"213680_at","KRT6B","keratin 6B",2.0421005885011,9.976967850649,5.78787075348223,2.00776328576363e-08,1.03864563959813e-07,8.36416440682729
"213707_s_at","DLX5","distal-less homeobox 5",1.37391079111966,6.66194655472122,12.1179692713259,3.44144471994025e-27,1.94783633605314e-25,50.9734297659751
"213711_at","KRT81","keratin 81",1.41533133111316,9.11156069155254,5.08649473397026,6.90891034811314e-07,2.75927445787499e-06,4.93534627907012
"214104_at","GPR161","G protein-coupled receptor 161",1.11201304965696,8.73299411235321,8.69136213453961,3.78879464990134e-16,6.11610119525704e-15,25.8139147835395
"214772_at","KIAA1549L","KIAA1549 like",1.09431160072794,7.15496441941928,8.10509361144555,1.95125334434781e-14,2.48651183806448e-13,21.9287860208396
"214974_x_at","CXCL5","C-X-C motif chemokine ligand 5",1.10380151650148,5.54515683781378,4.5097436096495,9.7554236686946e-06,3.19215865154035e-05,2.39020562529704
"215172_at","PTPN20","protein tyrosine phosphatase non-receptor type 20",1.0766652069124,6.07290536054082,7.18269657361594,6.91042275622743e-12,6.02499384781908e-11,16.1579978427831
"215729_s_at","VGLL1","vestigial like family member 1",2.63232055644206,6.94026295236932,9.15858205164353,1.47617009658505e-17,2.86712611121804e-16,29.0170762000952
"216237_s_at","MCM5","minichromosome maintenance complex component 5",1.07158587994559,9.75872539633099,9.88019332511564,8.36524876715717e-20,2.12532516888624e-18,34.1297129006591
"216905_s_at","ST14","ST14 transmembrane serine protease matriptase",1.01558241751213,8.55226140304255,8.04457649541641,2.90512924699099e-14,3.60340157847624e-13,21.5368705399849
"216952_s_at","LMNB2","lamin B2",1.11799968937282,9.18438566512219,9.56540633854266,8.17225240133434e-19,1.84178854098498e-17,31.876246428558
"217236_x_at","IGHG1","immunoglobulin heavy constant gamma 1 (G1m marker)",1.28683831308594,7.20512813356388,27.5161638764654,1.14795231940218e-79,5.2303577552762e-76,170.802010331814
"217640_x_at","SKA1","spindle and kinetochore associated complex subunit 1",1.22430885452557,5.38575548990474,19.107030584642,9.13342001748426e-52,4.99369739455952e-49,107.142072453166
"217867_x_at","BACE2","beta-secretase 2",1.08199619267121,10.3453778292646,8.00744682820577,3.70548948531283e-14,4.52833342891102e-13,21.2972956130908
"218009_s_at","PRC1","protein regulator of cytokinesis 1",1.07963197232426,10.3519266993006,6.22371982828447,1.88779983213162e-09,1.15479364311699e-08,10.6672094279466
"218051_s_at","NT5DC2","5'-nucleotidase domain containing 2",1.0254564294767,8.77542335149104,8.40236537678626,2.6951971642216e-15,3.89017700511658e-14,23.8791841848581
"218445_at","MACROH2A2","macroH2A.2 histone",1.0872480282132,9.59084332509864,11.133685437392,7.09676619771204e-24,2.79147979755328e-22,43.4096251477012
"218542_at","CEP55","centrosomal protein 55",1.33737483902617,8.42055233995195,7.06362807601409,1.42727416549885e-11,1.18596071426519e-10,15.4464924527798
"218663_at","NCAPG","non-SMC condensin I complex subunit G",1.3503576436653,7.2114115346802,8.49034927064478,1.48879929068122e-15,2.22040647075821e-14,24.4642704108629
"218847_at","IGF2BP2","insulin like growth factor 2 mRNA binding protein 2",1.12150054080193,8.05879324718148,6.91258602675038,3.54139740804866e-11,2.78758858746128e-10,14.5556454126532
"218963_s_at","KRT23","keratin 23",1.22375840090477,8.55847753474881,4.68623940771305,4.45339724649922e-06,1.54665244522864e-05,3.14167499433095
"219225_at","PGBD5","piggyBac transposable element derived 5",1.60445877411197,8.09791347595406,8.41450153122748,2.48384709037125e-15,3.59841917504102e-14,23.9596802849045
