"ID","GB_ACC","SPOT_ID","Species Scientific Name","Annotation Date","Sequence Type","Sequence Source","Target Description","Representative Public ID","Gene Title","Gene Symbol","ENTREZ_GENE_ID","RefSeq Transcript ID","Gene Ontology Biological Process","Gene Ontology Cellular Component","Gene Ontology Molecular Function","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"214295_at","AW129056","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AW129056 /DB_XREF=gi:6117000 /DB_XREF=xe94f04.x1 /CLONE=IMAGE:2615551 /FEA=mRNA /CNT=16 /TID=Hs.89121.0 /TIER=ConsEnd /STK=1 /UG=Hs.89121 /LL=57235 /UG_GENE=KIAA0485 /UG_TITLE=KIAA0485 protein","AW129056","uncharacterized LOC57235","KIAA0485","57235","","","","",1.27472626503091,6.05918443701557,3.46567977442782,0.00100794576653875,0.0396411629427812,-0.81758906505961
"214440_at","NM_000662","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:NM_000662.1 /DB_XREF=gi:4505334 /GEN=NAT1 /FEA=FLmRNA /CNT=37 /TID=Hs.155956.0 /TIER=FL /STK=6 /UG=Hs.155956 /LL=9 /DEF=Homo sapiens N-acetyltransferase 1 (arylamine N-acetyltransferase) (NAT1), mRNA. /PROD=N-acetyltransferase 1 /FL=gb:NM_000662.1","NM_000662","N-acetyltransferase 1 (arylamine N-acetyltransferase)","NAT1","9","NM_000662 /// NM_001160170 /// NM_001160171 /// NM_001160172 /// NM_001160173 /// NM_001160174 /// NM_001160175 /// NM_001160176 /// NM_001160179 /// NM_001291962 /// XM_006716410","0006805 // xenobiotic metabolic process // traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation /// 0044281 // small molecule metabolic process // traceable author statement","0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // traceable author statement","0004060 // arylamine N-acetyltransferase activity // inferred from electronic annotation /// 0016407 // acetyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016746 // transferase activity, transferring acyl groups // inferred from electronic annotation",1.97376185275847,8.63911950187509,3.64818194765075,0.000571155367498401,0.0333166231171735,-0.315732793642798
"214725_at","BE968773","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BE968773 /DB_XREF=gi:10579478 /DB_XREF=601649956F1 /CLONE=IMAGE:3933925 /FEA=mRNA /CNT=29 /TID=Hs.41185.0 /TIER=ConsEnd /STK=0 /UG=Hs.41185 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp564O1262 (from clone DKFZp564O1262)","BE968773","somatomedin B and thrombospondin, type 1 domain containing","SBSPON","157869","NM_153225 /// XM_005251178","0006898 // receptor-mediated endocytosis // inferred from electronic annotation /// 0006955 // immune response // inferred from electronic annotation","0005576 // extracellular region // inferred from electronic annotation /// 0005578 // proteinaceous extracellular matrix // inferred from electronic annotation /// 0031012 // extracellular matrix // inferred from direct assay","0005044 // scavenger receptor activity // inferred from electronic annotation /// 0030247 // polysaccharide binding // inferred from electronic annotation",1.01514241142547,3.13971059721245,3.716781827675,0.000459565875309919,0.0308398480232194,-0.1231007029581
"215397_x_at","AU148086","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AU148086 /DB_XREF=gi:11009607 /DB_XREF=AU148086 /CLONE=MAMMA1002554 /FEA=mRNA /CNT=5 /TID=Hs.302691.0 /TIER=ConsEnd /STK=1 /UG=Hs.302691 /UG_TITLE=Homo sapiens cDNA FLJ12379 fis, clone MAMMA1002554","AU148086","","","","","","","",1.01910566867234,4.04343916676939,4.17134128229632,0.000103643063752721,0.0180467659575797,1.20316877630378
"215552_s_at","AI073549","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI073549 /DB_XREF=gi:3400193 /DB_XREF=ov45e08.x1 /CLONE=IMAGE:1640294 /FEA=DNA /CNT=3 /TID=Hs.272288.0 /TIER=ConsEnd /STK=1 /UG=Hs.272288 /UG_TITLE=Human DNA sequence from clone RP1-63I5 on chromosome 6q25.1-26. Contains the 3 part of a novel gene and an exon of the ESR1 gene for estrogen receptor 1 (NR3A1, estradiol receptor), ESTs, STSs and GSSs","AI073549","estrogen receptor 1","ESR1","2099","NM_000125 /// NM_001122740 /// NM_001122741 /// NM_001122742 /// NM_001291230 /// NM_001291241 /// XM_006715374 /// XM_006715375","0001547 // antral ovarian follicle growth // inferred from electronic annotation /// 0002064 // epithelial cell development // inferred from electronic annotation /// 0006338 // chromatin remodeling // non-traceable author statement /// 0006351 // transcription, DNA-templated // traceable author statement /// 0006355 // regulation of transcription, DNA-templated // non-traceable author statement /// 0006367 // transcription initiation from RNA polymerase II promoter // traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007200 // phospholipase C-activating G-protein coupled receptor signaling pathway // inferred from sequence or structural similarity /// 0007204 // positive regulation of cytosolic calcium ion concentration // inferred from sequence or structural similarity /// 0008209 // androgen metabolic process // inferred from electronic annotation /// 0008584 // male gonad development // inferred from electronic annotation /// 0010467 // gene expression // traceable author statement /// 0010629 // negative regulation of gene expression // inferred from direct assay /// 0010863 // positive regulation of phospholipase C activity // inferred from sequence or structural similarity /// 0030518 // intracellular steroid hormone receptor signaling pathway // inferred from sequence or structural similarity /// 0030520 // intracellular estrogen receptor signaling pathway // non-traceable author statement /// 0030522 // intracellular receptor signaling pathway // inferred from electronic annotation /// 0032355 // response to estradiol // inferred from direct assay /// 0042981 // regulation of apoptotic process // inferred from electronic annotation /// 0043124 // negative regulation of I-kappaB kinase/NF-kappaB signaling // inferred from direct assay /// 0043401 // steroid hormone mediated signaling pathway // inferred from electronic annotation /// 0043433 // negative regulation of sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0043627 // response to estrogen // inferred from direct assay /// 0045429 // positive regulation of nitric oxide biosynthetic process // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0048146 // positive regulation of fibroblast proliferation // inferred from electronic annotation /// 0048386 // positive regulation of retinoic acid receptor signaling pathway // inferred from direct assay /// 0051000 // positive regulation of nitric-oxide synthase activity // inferred from direct assay /// 0051091 // positive regulation of sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0060065 // uterus development // inferred from electronic annotation /// 0060068 // vagina development // inferred from electronic annotation /// 0060523 // prostate epithelial cord elongation // inferred from electronic annotation /// 0060527 // prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis // inferred from electronic annotation /// 0060687 // regulation of branching involved in prostate gland morphogenesis // inferred from electronic annotation /// 0060745 // mammary gland branching involved in pregnancy // inferred from electronic annotation /// 0060749 // mammary gland alveolus development // inferred from electronic annotation /// 0060750 // epithelial cell proliferation involved in mammary gland duct elongation // inferred from electronic annotation /// 0071391 // cellular response to estrogen stimulus // inferred from electronic annotation /// 0071392 // cellular response to estradiol stimulus // inferred from sequence or structural similarity","0005634 // nucleus // inferred from direct assay /// 0005654 // nucleoplasm // traceable author statement /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from direct assay /// 0016020 // membrane // non-traceable author statement /// 0016021 // integral component of membrane // inferred from electronic annotation","0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0001046 // core promoter sequence-specific DNA binding // inferred from direct assay /// 0001077 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // non-traceable author statement /// 0003707 // steroid hormone receptor activity // traceable author statement /// 0004879 // ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity // inferred from electronic annotation /// 0005496 // steroid binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0008013 // beta-catenin binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0008289 // lipid binding // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0030235 // nitric-oxide synthase regulator activity // non-traceable author statement /// 0030284 // estrogen receptor activity // non-traceable author statement /// 0034056 // estrogen response element binding // inferred from direct assay /// 0038052 // estrogen-activated sequence-specific DNA binding RNA polymerase II transcription factor activity // inferred from genetic interaction /// 0042802 // identical protein binding // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",1.27311828736715,5.11788798424401,3.70091734696976,0.000483347732895161,0.0312007524156351,-0.167836630223562
"217190_x_at","S67777","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:S67777 /DB_XREF=gi:459362 /FEA=DNA_1 /CNT=2 /TID=Hs.247976.0 /TIER=ConsEnd /STK=0 /UG=Hs.247976 /UG_TITLE=Estrogen receptor {exon 6} (human, tamoxifen-resistant breast tumor 17, Genomic Mutant, 187 nt) /DEF=estrogen receptor {exon 6} (human, tamoxifen-resistant breast tumor 17, Genomic Mutant, 187 nt)","S67777","estrogen receptor 1","ESR1","2099","NM_000125 /// NM_001122740 /// NM_001122741 /// NM_001122742 /// NM_001291230 /// NM_001291241 /// XM_006715374 /// XM_006715375","0001547 // antral ovarian follicle growth // inferred from electronic annotation /// 0002064 // epithelial cell development // inferred from electronic annotation /// 0006338 // chromatin remodeling // non-traceable author statement /// 0006351 // transcription, DNA-templated // traceable author statement /// 0006355 // regulation of transcription, DNA-templated // non-traceable author statement /// 0006367 // transcription initiation from RNA polymerase II promoter // traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007200 // phospholipase C-activating G-protein coupled receptor signaling pathway // inferred from sequence or structural similarity /// 0007204 // positive regulation of cytosolic calcium ion concentration // inferred from sequence or structural similarity /// 0008209 // androgen metabolic process // inferred from electronic annotation /// 0008584 // male gonad development // inferred from electronic annotation /// 0010467 // gene expression // traceable author statement /// 0010629 // negative regulation of gene expression // inferred from direct assay /// 0010863 // positive regulation of phospholipase C activity // inferred from sequence or structural similarity /// 0030518 // intracellular steroid hormone receptor signaling pathway // inferred from sequence or structural similarity /// 0030520 // intracellular estrogen receptor signaling pathway // non-traceable author statement /// 0030522 // intracellular receptor signaling pathway // inferred from electronic annotation /// 0032355 // response to estradiol // inferred from direct assay /// 0042981 // regulation of apoptotic process // inferred from electronic annotation /// 0043124 // negative regulation of I-kappaB kinase/NF-kappaB signaling // inferred from direct assay /// 0043401 // steroid hormone mediated signaling pathway // inferred from electronic annotation /// 0043433 // negative regulation of sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0043627 // response to estrogen // inferred from direct assay /// 0045429 // positive regulation of nitric oxide biosynthetic process // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0048146 // positive regulation of fibroblast proliferation // inferred from electronic annotation /// 0048386 // positive regulation of retinoic acid receptor signaling pathway // inferred from direct assay /// 0051000 // positive regulation of nitric-oxide synthase activity // inferred from direct assay /// 0051091 // positive regulation of sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0060065 // uterus development // inferred from electronic annotation /// 0060068 // vagina development // inferred from electronic annotation /// 0060523 // prostate epithelial cord elongation // inferred from electronic annotation /// 0060527 // prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis // inferred from electronic annotation /// 0060687 // regulation of branching involved in prostate gland morphogenesis // inferred from electronic annotation /// 0060745 // mammary gland branching involved in pregnancy // inferred from electronic annotation /// 0060749 // mammary gland alveolus development // inferred from electronic annotation /// 0060750 // epithelial cell proliferation involved in mammary gland duct elongation // inferred from electronic annotation /// 0071391 // cellular response to estrogen stimulus // inferred from electronic annotation /// 0071392 // cellular response to estradiol stimulus // inferred from sequence or structural similarity","0005634 // nucleus // inferred from direct assay /// 0005654 // nucleoplasm // traceable author statement /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from direct assay /// 0016020 // membrane // non-traceable author statement /// 0016021 // integral component of membrane // inferred from electronic annotation","0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0001046 // core promoter sequence-specific DNA binding // inferred from direct assay /// 0001077 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // non-traceable author statement /// 0003707 // steroid hormone receptor activity // traceable author statement /// 0004879 // ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity // inferred from electronic annotation /// 0005496 // steroid binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0008013 // beta-catenin binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0008289 // lipid binding // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from physical interaction /// 0030235 // nitric-oxide synthase regulator activity // non-traceable author statement /// 0030284 // estrogen receptor activity // non-traceable author statement /// 0034056 // estrogen response element binding // inferred from direct assay /// 0038052 // estrogen-activated sequence-specific DNA binding RNA polymerase II transcription factor activity // inferred from genetic interaction /// 0042802 // identical protein binding // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",1.13494545943939,4.27707381706991,4.11743687757146,0.000124180669755978,0.0192162609148836,1.04167758050865
"217838_s_at","NM_016337","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_016337.1 /DB_XREF=gi:7706686 /GEN=RNB6 /FEA=FLmRNA /CNT=260 /TID=Hs.241471.0 /TIER=FL+Stack /STK=133 /UG=Hs.241471 /LL=51466 /DEF=Homo sapiens RNB6 (RNB6), mRNA. /PROD=RNB6 /FL=gb:AF052504.1 gb:NM_016337.1","NM_016337","Enah/Vasp-like","EVL","51466","NM_016337 /// XM_005267749 /// XM_006720168 /// XM_006720169 /// XM_006720170","0007015 // actin filament organization // traceable author statement /// 0007166 // cell surface receptor signaling pathway // non-traceable author statement /// 0007399 // nervous system development // non-traceable author statement /// 0007411 // axon guidance // traceable author statement /// 0008154 // actin polymerization or depolymerization // inferred from sequence or structural similarity /// 0009887 // organ morphogenesis // non-traceable author statement /// 0010633 // negative regulation of epithelial cell migration // inferred from mutant phenotype /// 0046907 // intracellular transport // inferred from electronic annotation /// 0051289 // protein homotetramerization // inferred from electronic annotation /// 0051496 // positive regulation of stress fiber assembly // inferred from mutant phenotype /// 1900028 // negative regulation of ruffle assembly // inferred from mutant phenotype","0005737 // cytoplasm // inferred from sequence or structural similarity /// 0005829 // cytosol // traceable author statement /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005925 // focal adhesion // inferred from sequence or structural similarity /// 0016020 // membrane // inferred from direct assay /// 0030027 // lamellipodium // inferred from sequence or structural similarity /// 0042995 // cell projection // inferred from electronic annotation","0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005522 // profilin binding // inferred from sequence or structural similarity /// 0017124 // SH3 domain binding // inferred from sequence or structural similarity",1.11797409205145,8.29540914109729,3.89917864276612,0.000255328215079395,0.0253711720383929,0.399061149496911
"219734_at","NM_017699","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_017699.1 /DB_XREF=gi:8923170 /GEN=FLJ20174 /FEA=FLmRNA /CNT=20 /TID=Hs.114556.0 /TIER=FL /STK=0 /UG=Hs.114556 /LL=54847 /DEF=Homo sapiens hypothetical protein FLJ20174 (FLJ20174), mRNA. /PROD=hypothetical protein FLJ20174 /FL=gb:NM_017699.1","NM_017699","SID1 transmembrane family, member 1","SIDT1","54847","NM_017699 /// XM_005247558 /// XM_006713675 /// XM_006713676 /// XM_006713677 /// XM_006713678 /// XM_006713679 /// XM_006713680 /// XR_241500","0016246 // RNA interference // inferred from electronic annotation /// 0033227 // dsRNA transport // inferred from electronic annotation","0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation","0051033 // RNA transmembrane transporter activity // inferred from electronic annotation",1.37084862271907,6.36129292999185,3.86859275763369,0.000282045254228396,0.025960983627841,0.310520127992866
"220340_at","NM_024935","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_024935.1 /DB_XREF=gi:13376407 /GEN=FLJ13687 /FEA=FLmRNA /CNT=12 /TID=Hs.278850.0 /TIER=FL /STK=4 /UG=Hs.278850 /LL=80000 /DEF=Homo sapiens hypothetical protein FLJ13687 (FLJ13687), mRNA. /PROD=hypothetical protein FLJ13687 /FL=gb:NM_024935.1","NM_024935","growth regulation by estrogen in breast cancer-like","GREB1L","80000","NM_001142966 /// NM_024935 /// XM_006722547 /// XM_006722548","","0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation","",1.14204609011204,4.6545024493263,5.02048908019171,5.31703710900381e-06,0.00946919985317296,3.8674193416844
"222314_x_at","AW970881","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AW970881 /DB_XREF=gi:8160726 /DB_XREF=EST382964 /FEA=EST /CNT=8 /TID=Hs.205660.1 /TIER=ConsEnd /STK=0 /UG=Hs.205660 /UG_TITLE=ESTs","AW970881","eosinophil granule ontogeny transcript (non-protein coding)","EGOT","100126791","NR_004428","","","",1.76296600602335,4.94032709686263,5.42668456884861,1.20343068718687e-06,0.00610925308229908,5.20378315801607
"222760_at","BG290193","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BG290193 /DB_XREF=gi:13046740 /DB_XREF=602385282F1 /CLONE=IMAGE:4514252 /FEA=FLmRNA /CNT=72 /TID=Hs.288042.0 /TIER=Stack /STK=47 /UG=Hs.288042 /LL=80139 /UG_GENE=FLJ14299 /UG_TITLE=hypothetical protein FLJ14299 /FL=gb:NM_025069.1","BG290193","zinc finger protein 703","ZNF703","80139","NM_025069","0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from direct assay /// 0008284 // positive regulation of cell proliferation // inferred from direct assay /// 0010718 // positive regulation of epithelial to mesenchymal transition // inferred from sequence or structural similarity /// 0017015 // regulation of transforming growth factor beta receptor signaling pathway // inferred from direct assay /// 0030335 // positive regulation of cell migration // inferred from sequence or structural similarity /// 0033601 // positive regulation of mammary gland epithelial cell proliferation // inferred from direct assay /// 0034111 // negative regulation of homotypic cell-cell adhesion // inferred from sequence or structural similarity /// 0034333 // adherens junction assembly // inferred from sequence or structural similarity /// 0045892 // negative regulation of transcription, DNA-templated // inferred from mutant phenotype /// 0051726 // regulation of cell cycle // inferred from direct assay /// 0060644 // mammary gland epithelial cell differentiation // inferred from direct assay /// 0060828 // regulation of canonical Wnt signaling pathway // inferred from sequence or structural similarity /// 0071392 // cellular response to estradiol stimulus // inferred from direct assay","0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from sequence or structural similarity /// 0016363 // nuclear matrix // inferred from direct assay /// 0043234 // protein complex // inferred from direct assay","0003676 // nucleic acid binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation /// 0070491 // repressing transcription factor binding // inferred from electronic annotation",1.12338461290205,6.97499775383366,3.38295377149839,0.00129725833734094,0.0431695676166257,-1.03975610955071
"223691_at","AY009106","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:AY009106.1 /DB_XREF=gi:12330994 /FEA=FLmRNA /CNT=29 /TID=Hs.120021.0 /TIER=FL+Stack /STK=10 /UG=Hs.120021 /LL=26166 /UG_GENE=DKFZP434I092 /DEF=Homo sapiens PRTD-NY2 mRNA, complete cds. /PROD=PRTD-NY2 /FL=gb:AY009106.1","AY009106","regulator of G-protein signaling 22","RGS22","26166","NM_001286692 /// NM_001286693 /// NM_015668 /// XM_005250856 /// XM_005250857 /// XM_005250858 /// XM_005250859 /// XM_005250860 /// XM_006716540 /// XM_006716541 /// XR_428378","0009968 // negative regulation of signal transduction // inferred from electronic annotation /// 0038032 // termination of G-protein coupled receptor signaling pathway // inferred from electronic annotation /// 0043547 // positive regulation of GTPase activity // not recorded","0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // not recorded /// 0005886 // plasma membrane // not recorded","0005096 // GTPase activator activity // not recorded",1.21077055515577,3.86616625774051,4.46848741145007,3.75738313450985e-05,0.0143115392142276,2.11138546220883
"225379_at","AA199717","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AA199717 /DB_XREF=gi:1795425 /DB_XREF=zq74h11.s1 /CLONE=IMAGE:647397 /FEA=EST /CNT=92 /TID=Hs.101174.4 /TIER=Stack /STK=42 /UG=Hs.101174 /LL=4137 /UG_GENE=MAPT /UG_TITLE=microtubule-associated protein tau","AA199717","microtubule-associated protein tau","MAPT","4137","NM_001123066 /// NM_001123067 /// NM_001203251 /// NM_001203252 /// NM_005910 /// NM_016834 /// NM_016835 /// NM_016841 /// XM_005257362 /// XM_005257364 /// XM_005257365 /// XM_005257366 /// XM_005257367 /// XM_005257368 /// XM_005257369 /// XM_005257370 /// XM_005257371 /// XM_005257372 /// XM_005275647 /// XM_005275648 /// XM_006725265 /// XM_006725266 /// XM_006725267 /// XM_006725268 /// XM_006725269 /// XM_006725270 /// XM_006725271 /// XM_006725272 /// XM_006725273 /// XM_006725274 /// XM_006725275 /// XM_006725616 /// XM_006725617 /// XM_006725618 /// XM_006725619 /// XM_006725620 /// XM_006725621 /// XM_006725622 /// XM_006725623 /// XM_006725624 /// XM_006725625","0000226 // microtubule cytoskeleton organization // inferred from direct assay /// 0001764 // neuron migration // inferred from electronic annotation /// 0006915 // apoptotic process // traceable author statement /// 0006921 // cellular component disassembly involved in execution phase of apoptosis // traceable author statement /// 0007409 // axonogenesis // inferred from electronic annotation /// 0007628 // adult walking behavior // inferred from electronic annotation /// 0008088 // axon cargo transport // inferred from electronic annotation /// 0008219 // cell death // inferred from electronic annotation /// 0010506 // regulation of autophagy // inferred from genetic interaction /// 0031113 // regulation of microtubule polymerization // non-traceable author statement /// 0031116 // positive regulation of microtubule polymerization // inferred from direct assay /// 0032387 // negative regulation of intracellular transport // inferred from electronic annotation /// 0045773 // positive regulation of axon extension // inferred from direct assay /// 0047497 // mitochondrion transport along microtubule // inferred from electronic annotation /// 0048675 // axon extension // inferred from electronic annotation /// 0048699 // generation of neurons // non-traceable author statement /// 0060632 // regulation of microtubule-based movement // inferred from electronic annotation","0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // traceable author statement /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0005875 // microtubule associated complex // traceable author statement /// 0005886 // plasma membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0030424 // axon // inferred from direct assay /// 0030426 // growth cone // inferred from direct assay /// 0034399 // nuclear periphery // inferred from direct assay /// 0036464 // cytoplasmic ribonucleoprotein granule // inferred from direct assay /// 0042995 // cell projection // inferred from electronic annotation /// 0045298 // tubulin complex // inferred from direct assay","0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008017 // microtubule binding // inferred from direct assay /// 0015631 // tubulin binding // inferred from electronic annotation /// 0017124 // SH3 domain binding // inferred from physical interaction /// 0019899 // enzyme binding // inferred from physical interaction /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0034185 // apolipoprotein binding // inferred from physical interaction /// 0071813 // lipoprotein particle binding // inferred from physical interaction",1.01265641622849,6.35244914994807,3.43323874176238,0.00111322389031753,0.040876773810014,-0.905118601787971
"227550_at","AW242720","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AW242720 /DB_XREF=gi:6576565 /DB_XREF=xm90c07.x1 /CLONE=IMAGE:2691468 /FEA=mRNA /CNT=30 /TID=Hs.94694.0 /TIER=Stack /STK=15 /UG=Hs.94694 /UG_TITLE=Homo sapiens cDNA FLJ10561 fis, clone NT2RP2002672","AW242720","GDNF family receptor alpha 1","GFRA1","2674","NM_001145453 /// NM_005264 /// NM_145793 /// XM_005269696","0001822 // kidney development // inferred from electronic annotation /// 0007166 // cell surface receptor signaling pathway // non-traceable author statement /// 0007399 // nervous system development // inferred from electronic annotation /// 0007411 // axon guidance // traceable author statement /// 0008584 // male gonad development // inferred from electronic annotation /// 0016477 // cell migration // inferred from electronic annotation /// 0035860 // glial cell-derived neurotrophic factor receptor signaling pathway // traceable author statement","0005615 // extracellular space // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0009897 // external side of plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0019898 // extrinsic component of membrane // traceable author statement /// 0030424 // axon // inferred from electronic annotation /// 0031225 // anchored component of membrane // inferred from electronic annotation /// 0043025 // neuronal cell body // inferred from electronic annotation /// 0043235 // receptor complex // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0004872 // receptor activity // inferred from electronic annotation /// 0004872 // receptor activity // non-traceable author statement /// 0005102 // receptor binding // traceable author statement /// 0005178 // integrin binding // inferred from electronic annotation /// 0016167 // glial cell-derived neurotrophic factor receptor activity // traceable author statement",1.44058499117075,6.23725917046603,3.28853090345246,0.00172321964920402,0.0476313461734093,-1.28908832901624
"228790_at","AW264082","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AW264082 /DB_XREF=gi:6640898 /DB_XREF=xq83e05.x1 /CLONE=IMAGE:2757248 /FEA=mRNA /CNT=23 /TID=Hs.74280.0 /TIER=Stack /STK=8 /UG=Hs.74280 /UG_TITLE=Homo sapiens cDNA FLJ13596 fis, clone PLACE1009637","AW264082","family with sequence similarity 110, member B","FAM110B","90362","NM_147189 /// XM_005251324 /// XM_005251325 /// XM_005251326","","0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0005815 // microtubule organizing center // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation","",1.08649433513768,5.81958587252362,4.48420522705467,3.55817076939676e-05,0.0143115392142276,2.16022254752727
